Apartment,Address,Price,Beds,Amenities
Reserve at Temple Terrace,"8800 Boardwalk Trail Dr, Tampa, FL 33637","$1,399 - $1,799",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Douglas Grand at Telecom Parkway,"7581 E Telecom Pky, Tampa, FL 33637","$1,724 - $3,266",1-4 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Stainless Steel Appliances']"
7th & Oak,"1701 N Florida Ave, Tampa, FL 33602","$2,175 - $4,955",Studio - 3 Beds,"['Dogs Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
MAA Breakwater,"5432 W Tyson Ave, Tampa, FL 33611","$2,168 - $4,078",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'In Unit Washer & Dryer']"
Miles at Ybor,"1704 N 17th St, Tampa, FL 33605","$1,050 - $1,950",Studio,"['Pets Allowed', 'Pool', 'Dishwasher', 'Refrigerator', 'Kitchen', 'In Unit Washer & Dryer']"
New Tampa Palms,"7970 Tampa Palms Blvd, Tampa, FL 33647","$1,805 - $2,585",1-2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Marquee Square,"2302 E Hillsborough Ave, Tampa, FL 33610",Call for Rent,Studio,"['Fitness Center', 'Refrigerator', 'Kitchen', 'Maintenance on site']"
AVE Tampa Riverwalk,"160 W Tyler St, Tampa, FL 33602","$2,071 - $3,786",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'In Unit Washer & Dryer']"
La Unión,"1720 Nick Nuccio Pky, Tampa, FL 33605","$1,850 - $3,581",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
The Vintage Lofts at West End,"801 N Rome Ave, Tampa, FL 33606","$1,550 - $3,872",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Kitchen', 'In Unit Washer & Dryer']"
Ybor Lofts,"1512 E 12th Ave, Tampa, FL 33605","$1,852 - $2,574",Studio - 2 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Clubhouse', 'Elevator']"
The Pointe on Westshore,"4950 W Prescott St, Tampa, FL 33616","$1,925 - $3,320",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Walk-In Closets']"
The Lakes at Brandon West,"10011 Balaye Run Dr, Tampa, FL 33619","$1,510 - $2,820",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Dishwasher', 'Kitchen', 'In Unit Washer & Dryer']"
Amberly Place Apartment Homes,"5100 Live Oaks Blvd, Tampa, FL 33647","$1,283 - $2,134",1-3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Captiva Club Apartments,"4401 Club Captiva Dr, Tampa, FL 33615","$1,340 - $2,275",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Park Place Apartments,"3132 W Lambright St, Tampa, FL 33614","$1,360 - $1,680",1-2 Beds,"['Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
The Residences at Soho,"4009 N Howard Ave, Tampa, FL 33607","$1,400 - $1,950",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Arabelle Riverwalk,"202 S Parker St, Tampa, FL 33606","$1,915 - $5,432",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Pool', 'Dishwasher', 'Refrigerator']"
Novel Midtown,"3730 Midtown Dr, Tampa, FL 33607","$1,964 - $9,165",Studio - 3 Beds,"['Pets Allowed', 'Fitness Center', 'Walk-In Closets', 'Clubhouse']"
